IID_ほそみの剣	uWep_Sw04-Sw
IID_鉄の剣	uWep_Sw01-Sw
IID_鋼の剣	uWep_Sw02-Sw
IID_銀の剣	uWep_Sw03-Sw
IID_アーマーキラー	uWep_Sw05-Sw
IID_キルソード	uWep_Sw06-Sw
IID_いかづちの剣	uWep_Sw07-Sw
IID_倭刀	uWep_Sw41-Sw
IID_ドラゴンキラー	uWep_Sw16-Sw
IID_勇者の剣	uWep_Sw08-Sw
IID_リベラシオン	uWep_Sw09-Sw
IID_リベラシオン_M000	uWep_Sw09-Sw
IID_ヴィレグランツ	uWep_Sw10-Sw
IID_クラドホルグ	uWep_Sw11-Sw
IID_鉄の大剣	uWep_Sw12-Sw
IID_鋼の大剣	uWep_Sw13-Sw
IID_銀の大剣	uWep_Sw14-Sw
IID_ゲオルギオス	uWep_Sw15-Sw
IID_フォルクヴァング	uWep_Sw50-Sw
IID_チョコレート剣	uWep_Sw46-Sw
IID_リベラシオン改	uWep_Sw09b-Sw
IID_リベラシオン改_ノーマル	uWep_Sw09b-Sw
IID_ほそみの槍	uWep_Lc04
IID_鉄の槍	uWep_Lc01
IID_鋼の槍	uWep_Lc02
IID_銀の槍	uWep_Lc03
IID_手槍	uWep_Lc05
IID_ナイトキラー	uWep_Lc06
IID_キラーランス	uWep_Lc07
IID_ほのおの槍	uWep_Lc08
IID_スレンドスピア	uWep_Lc09
IID_勇者の槍	uWep_Lc10
IID_ブリューナク	uWep_Lc11
IID_鉄の大槍	uWep_Lc12
IID_鋼の大槍	uWep_Lc13
IID_銀の大槍	uWep_Lc14
IID_ヴェノマス	uWep_Lc15
IID_トライゾン	uWep_Lc24
IID_フェンサリル	uWep_Lc50
IID_ソフトクリーム槍	uWep_Lc25
IID_ショートアクス	uWep_Ax04
IID_鉄の斧	uWep_Ax01
IID_鋼の斧	uWep_Ax02
IID_銀の斧	uWep_Ax03
IID_手斧	uWep_Ax05
IID_ハンマー	uWep_Ax06
IID_ポールアクス	uWep_Ax07
IID_キラーアクス	uWep_Ax08
IID_トマホーク	uWep_Ax09
IID_勇者の斧	uWep_Ax10
IID_フラガラッハ	uWep_Ax11
IID_鉄の大斧	uWep_Ax12
IID_鋼の大斧	uWep_Ax13
IID_銀の大斧	uWep_Ax14
IID_かぜの大斧	uWep_Ax15
IID_ウコンバサラ	uWep_Ax16
IID_ルヴァンシュ	uWep_Ax29
IID_ルヴァンシュ_E005	uWep_Ax29
IID_ノーアトゥーン	uWep_Ax50
IID_ロリポップ斧	uWep_Ax30
IID_ショートボウ	uWep_Bw04-Ar	uWep_Bw04-Bw
IID_鉄の弓	uWep_Bw01-Ar	uWep_Bw01-Bw
IID_鋼の弓	uWep_Bw02-Ar	uWep_Bw02-Bw
IID_銀の弓	uWep_Bw03-Ar	uWep_Bw03-Bw
IID_長弓	uWep_Bw05-Ar	uWep_Bw05-Bw
IID_キラーボウ	uWep_Bw06-Ar	uWep_Bw06-Bw
IID_光の弓	uWep_Bw07-Ar	uWep_Bw07-Bw
IID_勇者の弓	uWep_Bw08-Ar	uWep_Bw08-Bw
IID_レンダウィル	uWep_Bw09-Ar	uWep_Bw09-Bw
IID_クロワッサン弓	uWep_Bw17-Ar	uWep_Bw17-Bw
IID_ショートナイフ	uWep_Dg04
IID_鉄のナイフ	uWep_Dg01
IID_鋼のナイフ	uWep_Dg02
IID_銀のナイフ	uWep_Dg03
IID_カルド	uWep_Dg05
IID_スティレット	uWep_Dg06
IID_ペシュカド	uWep_Dg07
IID_ミセリコルデ	uWep_Dg08
IID_シンクエディア	uWep_Dg09
IID_カルンウェナン	uWep_Dg10
IID_おだんご短剣	uWep_Dg11
IID_サージ	uWep_Mg04
IID_ファイアー	uWep_Mg01
IID_サンダー	uWep_Mg02
IID_ウィンド	uWep_Mg03
IID_エルサージ	uWep_Mg08
IID_エルファイアー	uWep_Mg05
IID_エルサンダー	uWep_Mg06
IID_エルウィンド	uWep_Mg07
IID_ボルガノン	uWep_Mg09
IID_トロン	uWep_Mg10
IID_トロン_セピア専用	uWep_Mg10
IID_エクスカリバー	uWep_Mg11
IID_エクスカリバー_グリ専用	uWep_Mg11
IID_ノヴァ	uWep_Mg12
IID_メティオ	uWep_Mg13
IID_オヴスキュリテ	uWep_Mg14
IID_オヴスキュリテ_M000	uWep_Mg00
IID_ティラミス魔道書	uWep_Mg29
IID_ライブ	none uWep_Rd01
IID_リライブ	none uWep_Rd02
IID_リブロー	none uWep_Rd03
IID_リブロー_G004	none uWep_Rd03
IID_リカバー	none uWep_Rd04
IID_リザーブ	none uWep_Rd05
IID_レスト	none uWep_Rd06
IID_ワープ	none uWep_Rd07
IID_リワープ	none uWep_Rd08
IID_レスキュー	none uWep_Rd09
IID_レスキュー_M019	none uWep_Rd09
IID_ドロー	none uWep_Rd10
IID_トーチ	none uWep_Rd11
IID_フリーズ	none uWep_Rd12
IID_フリーズ_S010	none uWep_Rd12
IID_サイレス	none uWep_Rd13
IID_サイレス_S010	none uWep_Rd13
IID_アイスロック	none uWep_Rd14
IID_コラプス	none uWep_Rd15
IID_コラプス_M014	none uWep_Rd15
IID_コラプス_S010	none uWep_Rd15
IID_ノードゥス	none uWep_Rd16
IID_カップケーキ杖	none uWep_Rd21
IID_火のブレス	uWep_Ft00
IID_炎塊	uWep_Ft00
IID_ソンブル_物理攻撃	uWep_Ft00
IID_ソンブル_魔法攻撃	uWep_Ft00
IID_ソンブル_回転アタック	uWep_Ft00
IID_ソンブル_ビーム	uWep_Ft00
IID_ソンブル_エンゲージブレイク	uWep_Ft00
IID_邪竜石	uWep_Mg30a
IID_真邪竜石	uWep_Mg30b
IID_邪竜石_魔法攻撃	uWep_Mg30c
IID_邪竜石_騎馬特効	uWep_Mg30d
IID_邪竜石_飛行特効	uWep_Mg30e
IID_イル_反撃	uWep_Ft00
IID_イル_薙払いビーム	uWep_Ft00
IID_マルス_レイピア	uWep_Sw18
IID_マルス_レイピア_通常	uWep_Sw18n
IID_マルス_メリクルソード	uWep_Sw19
IID_マルス_メリクルソード_通常	uWep_Sw19n
IID_マルス_ファルシオン	uWep_Sw17
IID_マルス_ファルシオン_通常	uWep_Sw17n
IID_マルス_ファルシオン_M000	uWep_Sw17
IID_シグルド_ナイトキラー	uWep_Lc16
IID_シグルド_ナイトキラー_通常	uWep_Lc16n
IID_シグルド_ゆうしゃのやり	uWep_Lc17
IID_シグルド_ゆうしゃのやり_通常	uWep_Lc17n
IID_シグルド_ティルフィング	uWep_Sw20
IID_シグルド_ティルフィング_通常	uWep_Sw20n
IID_セリカ_エンジェル	uWep_Mg18
IID_セリカ_エンジェル_通常	uWep_Mg00
IID_セリカ_リカバー	none uWep_Rd17
IID_セリカ_リカバー_通常	uWep_Mg00
IID_セリカ_ライナロック	uWep_Mg19
IID_セリカ_ライナロック_通常	uWep_Mg00
IID_ミカヤ_シャイン	uWep_Mg17
IID_ミカヤ_シャイン_通常	uWep_Mg17n
IID_ミカヤ_リザイア	uWep_Mg16
IID_ミカヤ_リザイア_通常	uWep_Mg16n
IID_ミカヤ_セイニー	uWep_Mg15
IID_ミカヤ_セイニー_通常	uWep_Mg15n
IID_ロイ_ランスバスター	uWep_Sw23
IID_ロイ_ランスバスター_通常	uWep_Sw23n
IID_ロイ_ドラゴンキラー	uWep_Sw24
IID_ロイ_ドラゴンキラー_通常	uWep_Sw24n
IID_ロイ_封印の剣	uWep_Sw22
IID_ロイ_封印の剣_通常	uWep_Sw22n
IID_リーフ_キラーアクス	uWep_Ax17
IID_リーフ_キラーアクス_通常	uWep_Ax17n
IID_リーフ_キラーアクス_M008	uWep_Ax17
IID_リーフ_キラーアクス_M011	uWep_Ax17
IID_リーフ_マスターランス	uWep_Lc18
IID_リーフ_マスターランス_通常	uWep_Lc18n
IID_リーフ_マスターランス_M008	uWep_Lc18
IID_リーフ_ひかりの剣	uWep_Sw21
IID_リーフ_ひかりの剣_通常	uWep_Sw21n
IID_リーフ_マスターボウ	uWep_Bw11-Ar	uWep_Bw11-Bw
IID_ルキナ_ノーブルレイピア	uWep_Sw31
IID_ルキナ_ノーブルレイピア_通常	uWep_Sw31n
IID_ルキナ_ノーブルレイピア_M007	uWep_Sw31
IID_ルキナ_パルティア	uWep_Bw13-Ar	uWep_Bw13-Bw
IID_ルキナ_パルティア_通常	uWep_Bw13n-Ar	uWep_Bw13n-Bw
IID_ルキナ_裏剣ファルシオン	uWep_Sw30
IID_ルキナ_裏剣ファルシオン_通常	uWep_Sw30n
IID_リン_キラーボウ	uWep_Bw12-Ar	uWep_Bw12-Bw
IID_リン_キラーボウ_通常	uWep_Bw12n-Ar	uWep_Bw12n-Bw
IID_リン_キラーボウ_M010	uWep_Bw12-Ar	uWep_Bw12-Bw
IID_リン_マーニ・カティ	uWep_Sw25
IID_リン_マーニ・カティ_通常	uWep_Sw25n
IID_リン_マーニ・カティ_M010	uWep_Sw25
IID_残像_マーニ・カティ	uWep_Sw25n
IID_リン_ミュルグレ	uWep_Bw10-Ar	uWep_Bw10-Bw
IID_リン_ミュルグレ_通常	uWep_Bw10n
IID_アイク_ハンマー	uWep_Ax18
IID_アイク_ハンマー_通常	uWep_Ax18n
IID_アイク_ウルヴァン	uWep_Ax19
IID_アイク_ウルヴァン_通常	uWep_Ax19n
IID_アイク_ラグネル	uWep_Sw29
IID_アイク_ラグネル_通常	uWep_Sw29n
IID_ベレト_アイムール	uWep_Ax20
IID_ベレト_ブルトガング	uWep_Sw38
IID_ベレト_ブルトガング_通常	uWep_Sw38n
IID_ベレト_ルーン	uWep_Lc20
IID_ベレト_ルーン_M010	uWep_Lc20
IID_ベレト_アラドヴァル	uWep_Lc21
IID_ベレト_フェイルノート	uWep_Bw14-Ar	uWep_Bw14-Bw
IID_ベレト_ヴァジュラ	uWep_Ft00	uWep_Ft00
IID_ベレト_ヴァジュラ_通常	uWep_Ft00	uWep_Ft00
IID_ベレト_天帝の覇剣	uWep_Sw37
IID_ベレト_天帝の覇剣_通常	uWep_Sw36
IID_ベレト_天帝の覇剣_M014	uWep_Sw37
IID_カムイ_逆刀	uWep_Sw34
IID_カムイ_逆刀_通常	uWep_Sw34n
IID_カムイ_飛刀	uWep_Sw35
IID_カムイ_飛刀_通常	uWep_Sw35n
IID_カムイ_夜刀神	uWep_Sw32
IID_カムイ_夜刀神_通常	uWep_Sw32
IID_エイリーク_レイピア	uWep_Sw27
IID_エイリーク_レイピア_通常	uWep_Sw27n
IID_エイリーク_かぜの剣	uWep_Sw28
IID_エイリーク_かぜの剣_通常	uWep_Sw28n
IID_エイリーク_ジークリンデ	uWep_Sw26
IID_エイリーク_ジークリンデ_通常	uWep_Sw26n
IID_エフラム_ジークムント	uWep_Lc19
IID_リュール_オリゴルディア	uWep_Sw39
IID_リュール_オリゴルディア_通常	uWep_Sw39n
IID_リュール_ライラシオン	uWep_Sw40
IID_リュール_ライラシオン_通常	uWep_Sw40n
IID_マルス_ファルシオン_通常黒	uWep_Sw17b
IID_シグルド_ティルフィング_通常黒	uWep_Sw20b
IID_リーフ_ひかりの剣_通常黒	uWep_Sw21b
IID_ロイ_封印の剣_通常黒	uWep_Sw22b
IID_エイリーク_ジークリンデ_通常黒	uWep_Sw26b
IID_アイク_ラグネル_通常黒	uWep_Sw29b
IID_ルキナ_裏剣ファルシオン_通常黒	uWep_Sw30b
IID_カムイ_夜刀神_シンクロ専用	uWep_Sw32
IID_カムイ_夜刀神_シンクロ専用黒	uWep_Sw32b
IID_ベレト_天帝の剣_シンクロ専用	uWep_Sw36
IID_ベレト_天帝の剣_シンクロ専用黒	uWep_Sw36b
IID_リン_ミュルグレ_通常黒	uWep_Bw10b
IID_ミカヤ_セイニー_通常黒	uWep_Mg15b
IID_チキ_ブレス	uWep_Ft00
IID_チキ_ブレス_竜族	uWep_Ft00
IID_チキ_ブレス_重装	uWep_Ft00
IID_チキ_ブレス_飛行	uWep_Ft00
IID_チキ_ブレス_魔法	uWep_Ft00
IID_チキ_ブレス_E001	uWep_Ft00
IID_チキ_ブレス_E006	uWep_Ft00
IID_セネリオ_レクスカリバー	uWep_Mg22
IID_カミラ_カミラの艶斧	uWep_Ax26
IID_クロム_トロン	uWep_Mg26
IID_三級長_銀の槍_シンクロ専用	uWep_Lc22
IID_三級長_銀の槍_シンクロ専用黒	uWep_Lc22b
IID_三級長_キラーアクス_シンクロ専用	uWep_Ax21
IID_三級長_キラーアクス_シンクロ専用黒	uWep_Ax21b
IID_ヘクトル_ヘクトルの斧_シンクロ専用	uWep_Ax23
IID_ヘクトル_ヘクトルの斧_シンクロ専用黒	uWep_Ax23b
IID_カミラ_カミラの艶斧_シンクロ専用	uWep_Ax26
IID_カミラ_カミラの艶斧_シンクロ専用黒	uWep_Ax26b
IID_三級長_鉄の弓_シンクロ専用	uWep_Bw15-Ar	uWep_Bw15-Bw
IID_三級長_鉄の弓_シンクロ専用黒	uWep_Bw15b-Ar	uWep_Bw15b-Bw
IID_ヴェロニカ_絶闇エンブラ_シンクロ専用	uWep_Mg20
IID_ヴェロニカ_絶闇エンブラ_シンクロ専用黒	uWep_Mg20b
IID_セネリオ_レクスカリバー_シンクロ専用	uWep_Mg22
IID_セネリオ_レクスカリバー_シンクロ専用黒	uWep_Mg22b
IID_クロム_トロン_シンクロ専用	uWep_Mg26
IID_クロム_トロン_シンクロ専用黒	uWep_Mg26b
